"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Coda di Volpe Sannio","Sannio","Bianco","Cantina di Solopaca","Ha colore giallo paglierino più o meno intenso; Profumo: delicato, lievemente esotico e floreale; Sapore: secco, armonico, sapido, vellutato.","100% Coda di Volpe","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Rosso Sannio - Prime Vigne","Sannio Solopaca","Rosso","Cantina di Solopaca","Vino molto tipico che al naso sprigiona sentori di frutta rossa e molecole floreali.","50-60% Sangiovese; 20-40% Aglianico; Max 30% Vitigni autoctoni","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Rosso Sannio","Sannio Solopaca","Rosso","Cantina di Solopaca","Vino molto tipico che al naso sprigiona sentori di frutta rossa e molecole floreali.","50-60% Sangiovese; 20-40% Aglianico; Max 30% Vitigni autoctoni","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Barbera Sannio - Prime Vigne","Sannio","Rosso","Cantina di Solopaca","Ha colore rubino più o meno intenso, tendente al rosso mattone con l’invecchiamento. All’olfatto è intensamente fruttato con ricordi di gelso nero, liquirizia, muschio, sentori speziati e aromatici. Il sapore è aromatico tipico, netto, asciutto, armonico, morbido.","100% Barbera","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Intenso 05","Beneventano","Bianco","Cantina di Solopaca","Ha profumo tipico e intenso di moscato, pesca bianca, miele, rosa. Il sapore è dolce e aromatico.","100% Moscato","5,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Rosato Sannio - Prime Vigne","Sannio Solopaca","Rosato","Cantina di Solopaca","Ha colore rosa più o meno intenso e profumi delicati, fruttati e floreali.Il sapore è secco, morbido, armonico.","50-60% Sangiovese; 20-40% Aglianico; Max 20% Vitigni autoctoni","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Bianco Sannio - Prime Vigne","Sannio Solopaca","Bianco","Cantina di Solopaca","Ha colore paglierino e profumi lievemente esotici  fruttati e floreali. Il sapore è secco, equilibrato,vellutato.","40-60% Trebbiano; 20% Falanghina; 20% Malvasia","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Aglianico Beneventano - Prime Vigne","Beneventano","Rosso","Cantina di Solopaca","Ha colore rubino più o meno intenso e profumo delicato con sentori  di frutta rossa. Il sapore è asciutto, armonico, vellutato.","100% Aglianico","12,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina del Sannio","Falanghina del Sannio","Bianco","Cantina di Solopaca","Ha colore paglierino e profumi  floreali caratteristi. Il sapore è asciutto, armonico e fresco.","100% Falanghina","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Fiano Sannio","Sannio","Bianco","Cantina di Solopaca","Vino particolarmente tipico dal colore paglierino, odore gradevolmente fruttato e  sapore  secco, armonico, delicato.","100% Fiano","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Greco Sannio - Selezione Oro","Sannio","Bianco","Cantina di Solopaca","Questo vino ha colore giallo paglierino, profumo fruttato e floreale, sapore secco, equilibrato.","100% Greco","13,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Beneventano","Beneventano","Bianco","Cantina di Solopaca","Vino dal colore paglierino più o meno intenso con profumi fruttati e floreali . Il sapore è asciutto, armonico, fresco.","100% Falanghina","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Coda di Volpe Sannio - Prime Vigne","Sannio","Bianco","Cantina di Solopaca","Ha colore giallo paglierino più o meno intenso; Profumo: delicato, lievemente esotico e floreale; Sapore: secco, armonico, sapido, vellutato.","100% Coda di Volpe","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Rosso Superiore - Prime Vigne","Sannio Solopaca","Rosso","Cantina di Solopaca","Vino dal colore rubino più o meno intenso tendente al rosso mattone con l’invecchiamento. Il profumo è intenso, caratteristico, delicato,composito di viola, fragola, marasca e muschio. Il sapore è asciutto, armonico, vellutato.","50-60% Sangiovese; 20-40% Aglianico; Max 30% Vitigni autoctoni","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Beneventano Frizzante","Beneventano","Bianco","Cantina di Solopaca","Falanghina frizzante, di colore paglierino, spuma vivace a media persistenza e al naso evidenzia sentori di frutta esotica, ginestra e lieve crosta di pane. Il sapore è lievemente abboccato,  fresco, sapido.","85% Falanghina; Vitigni autoctoni del Beneventano","11,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Greco Sannio","Sannio","Bianco","Cantina di Solopaca","Vino dal colore giallo paglierino più o meno intenso, profumo fruttato e floreale, sapore secco, equilibrato.","100% Greco","12,5%","D.O.P.","Via Bebania, 44Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Falangos","Campi Flegrei","Bianco","Cantine Astroni","Colore giallo paglierino con riflessi dorati e sfumature di un verde appena accennato. Agitando leggermente il bicchiere è evidente l'elevata densità di questo vino. Il profumo è dolce e delicato, si avverte una nota dominante di frutta matura e miele. Al gusto manifesta un’elevata pienezza e morbidezza accompagnata da una buona persistenza, caratterizzata da sensazioni mielate e tenui sfumature speziate.","100% Falanghina","12%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Piedirosso Per 'e Palummo","Campi Flegrei","Rosso","Cantine Astroni","Colore rosso rubino con riflessi violacei, al naso dominano inizialmente note tostate, affumicate tipiche ed inconfondibili di tale vitigno, ma lentamente emergono anche quelle di piccoli frutti rossi selvatici che ne completano il quadro aromatico. In bocca ampio, piacevole, fresco e mediamente persistente, ""giovane da bere giovane"".","100% Piedirosso","12%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Lacryma Christi Rosso","Vesuvio","Rosso","Cantine Astroni","Colore rosso intenso, con sfumature brunastre; al naso molto complesso presenta evidenti note speziate accompagnate da profumi di liquirizia, di fieno e leggere sfumature di violetta. In bocca presentando un'ottima persistenza è vellutato e ben strutturato, fresco e connotato di naturali sensazioni retro olfattive.","Aglianico; Piedirosso","12,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Lacryma Christi Bianco","Vesuvio","Bianco","Cantine Astroni","Di colore giallo carico con notazioni verdognole. Agitando leggermente il bicchiere appare evidente la densità e la consistenza del prodotto. Al palato la sensazione di grasso è sorprendente, rotondo e molto persistente. Al naso prevale un sentore di albicocca e di erbe selvatiche, ma anche note minerali che ne completano il corredo aromatico.","Coda di Volpe; Falanghina","12,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Rais","Campania","Rosso","Cantine Astroni","Vino limpido e consistente dal colore rosso rubino intenso. Al naso fine e complesso, presenta profumi intensi su note di fiori passiti, frutta matura, ciliegia sotto spirito, legno di rovere e tabacco. In bocca è fine, secco, caldo e morbido, con un tannino presente, ma non invadente. Buona la persistenza e l'equilibrio.","Aglianico; Piedirosso","13,5%","I.G.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Cratere Bianco","Vesuvio","Bianco","Cantine Astroni","Di colore giallo carico con notazioni verdognole. Al naso prevale un sentore di albicocca e di erbe selvatiche, ma anche note minerali che ne completano il corredo aromatico. In bocca strutturato, rotondo e persistente.","Coda di Volpe; Falanghina","12,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Astrorosa","Campi Flegrei","Rosato","Cantine Astroni","Di colore Rosa è dominato da note fruttate, seguite da quelle floreali che ne completano il bouquet. In bocca è fresco, minerale e di buona persistenza.","100% Piedirosso","12%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Gragnano Penisola Sorrentina","Penisola Sorrentina Gragnano","Rosso","Cantine Astroni","Colore rosso rubino che tende allo scuro, profumo vinoso e campestre. Frizzantino con spuma evanescente, presenta un aroma e un retrogusto di affumicato estremamente volatile. Leggermente abboccato.","Aglianico; Piedirosso; Sciascinoso; Vitigni minori","11,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Aglianico Gauranum","Sannio","Rosso","Cantine Astroni","Colore rosso rubino brillante, con profumi di piccoli frutti rossi come frego-line e ciliegie sotto spirito, accompagnate da leggere note balsamiche e speziate. Al palato si presenta ben strutturato e in equilibrio con il corpo, morbido e persistente.","100% Aglianico","13%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Colle Rotondella","Campi Flegrei","Rosso","Cantine Astroni","Vino limpido e consistente dal colore rosso rubino con riflessi violacei. Al naso intenso, fine e complesso, presenta sentori fruttati (piccoli frutti rossi quali ribes e prugne), minerali e floreali (viola), nonché note tostate ed affumicate tipiche ed inconfondibili di tale vitigno. Al gusto secco, caldo e morbido. Buona la tannicità, la freschezza e la sapidità. Vino equilibrato e di corpo dalla buona persistenza e intensità.","100% Piedirosso","12%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Tenuta Camaldoli","Campi Flegrei","Rosso","Cantine Astroni","Vino di colore rosso rubino, al naso complesso, presenta un evidente profumo mentolato, con sfumature di essenze erbacee (rosmarino) e fondo di frutta a polpa scura, come ribes nero e mora. Toni minerali, chiodi di garofano e uno spunto floreale, come il glicine ne completano il bouquet aromatico. Al palato il tannino si caratterizza per finezza e freschezza, il finale minerale e speziato.","100% Piedirosso","12,6%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Colle Imperatrice","Campi Flegrei","Bianco","Cantine Astroni","Vino limpido e consistente dal colore giallo paglierino con riflessi dorati e sfumature di un verde appena accennato. Al naso intenso, fine e complesso, presenta sentori floreali e note fruttate. Al gusto secco, caldo e morbido. Buona la freschezza e la sapidità. Vino equilibrato e di corpo dalla buona persistenza e intensità.","100% Falanghina","12,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Vigna Astroni","Campi Flegrei","Bianco","Cantine Astroni","Di colore giallo paglierino carico, presenta sentori minerali uniti ad un elegante tostato, mandorla dolce e leggero erbaceo. All’assaggio il primo impatto è la sapidità cui segue la comprensione di una acidità viva, componenti che ben dialogano con la morbidezza del vino.","100% Falanghina","12,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Cratere Rosso","Vesuvio","Rosso","Cantine Astroni","Di colore rosso intenso, al naso presenta un'ampia complessità con evidenti note speziate accompagnate da profumi di liquirizia, fieno e leggere sfumature di violetta. In bocca è dotato di buona persistenza, freschezza e struttura.","Aglianico; Piedirosso; Sciascinoso","12,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Penisola Sorrentina Gragnano","Penisola Sorrentina Gragnano","Rosso","Cantine Astroni","Colore rosso rubino che tende allo scuro, profumo vinoso e campestre. Frizzantino con spuma evanescente, presenta un aroma e retrogusto di affumicato molto volatile.","Aglianico; Piedirosso; Sciascinoso; Vitigni minori","11,5-12,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Coda di Volpe Caudium Vulpium","Sannio","Bianco","Cantine Astroni","Colore giallo carico tendente al dorato. Vinoso, con leggeri aromi di pesca bianca, fieno e frutta candita. Al palato si presenta ampio, gradevole media-mente persistente, molto morbido e offre sentori di frutta e note minerali.","100% Coda di Volpe","12%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Strione","Campania","Bianco","Cantine Astroni","Limpido dal colore giallo oro carico, al naso complesso, intenso e persistente, con un bouquet molto ampio che si svela lentamente nel bicchiere. Prevalgono sentori floreali seguiti da quelli di frutta matura quali l’albicocca e la pesca gialla, presenti piacevoli note agrumate, nel finale leggermente speziato. Freschezza, struttura e persistenza sono nette in bocca, così come la tipica mineralità e sapidità; quasi tendente al salato.","100% Falanghina","12%","I.G.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Penisola Sorrentina Lettere","Penisola Sorrentina Lettere","Rosso","Cantine Astroni","Colore rosso rubino che tende allo scuro, profumo vinoso e campestre. Frizzantino con spuma evanescente, presenta un aroma e retrogusto di affumicato molto volatile.","Aglianico; Piedirosso; Sciascinoso; Vitigni minori","11,5-12,5%","D.O.P.","Via Sartania, 48","Napoli","Napoli","40.847790, 14.160464","http://www.cantineastroni.com/","081 5884182","",
"Sintema","Campi Flegrei","Bianco","Cantine Babbo","Colore giallo paglierino con riflessi verdognoli. Ricco ventaglio aromatico di delicate note floreali e fruttate, dai profumi intensi e persistenti, con lievi sentori di agrumi, ananas, banana, pera matura e fiori della macchia mediterranea. Gusto secco, fresco, armonico, di buona acidità, con retrogusto amarognolo, ampio e piacevole.","100% Falanghina","11,5-12,5%","D.O.C.","Via Scalandrone, 22","Pozzuoli","Napoli","40.830890, 14.072072","http://www.cantinebabbo.it/","338 4887522","",
