"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Alèxandros","Greco di Tufo","Bianco","Greco di Tufo","Colli di Lapio","","100% Greco","13%","D.O.C.G.","Contrada Arianiello, 47","Lapio","Avellino","40.971259, 14.927675","http://www.collidilapio.it/","0825 982184","",
"Donna Chiara","Irpinia Campi Taurasini","Rosso","","Colli di Lapio","Profumo ampio, intenso e persistente di confettura di lampone,dal sapore pieno ed elegante.","100% Aglianico","14,5%","D.O.C.","Contrada Arianiello, 47","Lapio","Avellino","40.971259, 14.927675","http://www.collidilapio.it/","0825 982184","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Colli di Lapio","Profumi intensi e fini di fruttamatura e fiori di tiglio.","100% Fiano","13,5%","D.O.C.G.","Contrada Arianiello, 47","Lapio","Avellino","40.971259, 14.927675","http://www.collidilapio.it/","0825 982184","",
"Aglianico Campania","Campania","Rosso","Aglianico","Colline del Sole","Colore rosso vivace, bouquet intenso, etereo. Sapore asciutto e vinoso.","100% Aglianico","12,5%","I.G.T.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Falanghina Sannio","Sannio","Bianco","Falanghina","Colline del Sole","Color giallo paglierino con riflessi verdognoli, elegantemente fruttato con sentori di mela. Il sapore è secco","100% Falanghina","","D.O.C.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Greco Spumante Brut","Vino Spumante","Bianco","Brut","Colline del Sole","Una delle sue qualità distintive è l’incredibile finezza del perlage, spuma intensa e persistente. I profumi inimitabili nascono dalla combinazione tra vitigno e caratteristiche del terreno, il colore giallo paglierino, molto luminoso ed elegante.","100% Greco","","V.S.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Falanghina del Beneventano","Beneventano","Bianco","Falanghina","Colline del Sole","Colore giallo paglierino molto luminoso, profumo intenso e floreale. Sapore asciutto pieno e morbido.","100% Falanghina","12,5%","I.G.T.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Colline del Sole","Colore giallo paglierino con leggeri riflessi verdolini, limpido e consistente, profumo intenso, ampio con note minerali. Sapore secco robusto con freschezza minerale persistente.","100% Greco","13%","D.O.C.G.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Colline del Sole","Colore giallo pagleirino carico luminoso, limpido e consistente, quasi cremoso. Bouquet intenso e floreale. Sapore morbido caldo con una vena mielata e minerale in un buon equilibrio","100% Fiano","13%","D.O.C.G.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Irpinia Aglianico","Irpinia","Rosso","Aglianico","Colline del Sole","Colore rosso rubino vivace, bouquet intenso, con note di speziato. Sapore asciutto, pieno con sentori di viola e lampone.","100% Aglianico","13%","D.O.C.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Greco Campania","Campania","Bianco","Greco","Colline del Sole","Colore giallo paglierino con leggeri riflessi verdolini, limpido e consistente, profumo intenso, ampio con note mine","100% Greco","12%","I.G.T.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Taurasi","Taurasi","Rosso","Taurasi","Colline del Sole","Colore rosso rubino intenso, bouquet intenso, forte etere e speziato, sapore asciutto, pieno di gran corpo.","100% Aglianico","13,5%","D.O.C.G.","Contrada Casale Bosco, 51","Torrioni","Avellino","41.022673, 14.809701","http://www.collinedelsole.it/","0825 998375","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Contea dé Altavilla","Giallo paglierino.Offre una moltitudine di aromi, tra i quali sentori di pera, ananas, acacia, nocciola tostata, miele e biancospino.Vino di buona acidità ma allo stesso tempo di grande morbidezza, manifesta al retrogusto spiccati sentori di nocciola e mandorla.","100% Fiano","12,5%","D.O.C.G.","Contrada Sassano, 7","Altavilla Irpina","Avellino","41.001125, 14.775339","","0825 991058","",
"Irpinia Coda di Volpe","Irpinia","Bianco","Coda di Volpe","Contea dé Altavilla","Colore giallo paglierinomedio con evidenti riflessi verdognoli, sapore asciutto e profumo gradevole, su note di fiori bianchi e gialli, pera e banana verde.","100% Coda di Volpe","","D.O.C.","Contrada Sassano, 7","Altavilla Irpina","Avellino","41.001125, 14.775339","","0825 991058","",
"Beneventano Falanghina","Beneventano","Bianco","Falanghina","Contea dé Altavilla","Giallo paglierino chiaro con riflessi verdognoli.Fresco e fruttato, con spiccate note di agrumi, ananas e fiori bianchi.Conferma la freschezza grazie anche ad una spiccata acidità in perfetto equilibrio con la struttura del vino.","100% Falanghina","12,5%","I.G.T.","Contrada Sassano, 7","Altavilla Irpina","Avellino","41.001125, 14.775339","","0825 991058","",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Contea dé Altavilla","Giallo paglierino.Al naso offre sentori fruttati di albicocca, pesca e pera. In bocca è morbido, minerale, strutturato ed elegante. E' da apprezzare il gradevole amaro mandorlato.","100% Greco","12,5%","D.O.C.G.","Contrada Sassano, 7","Altavilla Irpina","Avellino","41.001125, 14.775339","","0825 991058","",
"Beneventano Aglianico","Beneventano","Rosso","Aglianico","Contea dé Altavilla","Rosso rubino intenso.Si percepiscono aromi persistenti di amarena e mora selvatica, con piacevoli note tostate.Elegante e morbido, con note che richiamano frutti di bosco e confettura di fragole.","100% Aglianico","12,5%","I.G.T.","Contrada Sassano, 7","Altavilla Irpina","Avellino","41.001125, 14.775339","","0825 991058","",
"Rusios","Irpinia","Rosso","Aglianico","Contea dé Altavilla","Rosso rubino intenso.Si percepiscono aromi persistenti di amarena e mora selvatica, con piacevoli note tostate.Elegante e morbido, con note che richiamano frutti di bosco e confettura di fragole.","100% Aglianico","13-14%","D.O.C.","Contrada Sassano, 7","Altavilla Irpina","Avellino","41.001125, 14.775339","","0825 991058","",
"Tre Pietre","Sannio","Rosso","Aglianico","Corte Normanna","Colore rosso granato, consistente, profumo intenso, persistente e fine, ampio con sentori di viola, speziati e tostati, gusto secco, caldo di alcool, abbastanza morbido, fresco di acidità e abbastanza tannico, di buona struttura, equilibrato ed armonico","100% Aglianico","","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Fiano","Sannio","Bianco","Fiano","Corte Normanna","Colore giallo paglierino, consistente profumo intenso, persistente e fine, fruttato con sentori floreali, gusto secco, caldo di alcool, morbido, fresco di acidità, di buona struttura e persistenza, equilibrato ed  armonico.","100% Fiano","","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Falanghina","Falanghina del Sannio","Bianco","Falanghina","Corte Normanna","Colore giallo paglierino, cristallino, consistente profumo intenso, persistente e fine, fruttato con sentori floreali gusto secco, caldo di alcool, abbastanza morbido, fresco di acidità, di buona struttura e persistenza, equilibrato ed  armonico.","100% Falanghina","","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Novello","Beneventano","Rosso","Novello","Corte Normanna","Colore rosso rubino, abbastanza consistente, profumo intenso, persistente e fine, fruttato floreale con sentori di frutta a polpa rossa, gusto abboccato, abbastanza caldo di alcool, morbido, fresco di acidità, equilibrato ed armonico.","Aglianico; Barbera; Sangiovese","","I.G.T.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Greco","Sannio Guardia Sanframondi","Bianco","Greco","Corte Normanna","Colore giallo paglierino, cristallino, profumo intenso, persistente e fine, fruttato/ floreale, sapore secco, abbastanza caldo di alcool e morbido, abbastanza fresco di acidità, equilibrato ed armonico.","100% Greco","14%","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Aglianico Benevento","Beneventano","Rosso","Aglianico","Corte Normanna","Colore rosso rubino, limpido e consistente; profumi intensi e complessi di frutti rossi; gusto secco, buona alcolicità ed equilibrata tannicità, morbido e persistente, di discreta struttura.","100% Aglianico","","I.G.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Porta dell'Olmo","Falanghina del Sannio","Bianco","Passito","Corte Normanna","Colore giallo dorato con nuance particolarmente calde, profumo intenso, elegante e persistente, con sentori di confettura, miele e frutta candita, gusto dolce, caldo di alcool, morbido, di buona struttura e persistenza, grande spessore gustativo, il finale è molto lungo con notevole rispondenza gusto/olfattivo.","100% Falanghina","","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Falanghina Spumante Extra Dry","Falanghina del Sannio Spumante","Bianco","Extra Dry","Corte Normanna","Giallo paglierino, brillante con perlage sottile e persistente. Profumo ricco e persistente, con note fruttate e floreali. Gusto secco, con piacevole e decisa nota fruttata ed acidula. Equilibrato.","100% Falanghina","","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Aglianico","Sannio","Rosso","Aglianico","Corte Normanna","Colore rosso rubino tendente al granato con l’invecchiamento, consistente, profumo intenso, persistente e fine, floreale/speziato con sentori di viola, gusto secco, caldo di alcool, abbastanza morbido e tannico, di buona struttura, equilibrato ed armonico.","100% Aglianico","","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Guiscardo Rosso","Sannio","Rosso","","Corte Normanna","Colore rosso rubino, cristallino, consistente profumo intenso, persistente e fine, fruttato/ floreale sapore secco, abbastanza caldo di alcool, morbido, abbastanza fresco di acidità, giustamente tannico, equilibrato ed armonico .","Aglianico; Barbera; Montepulciano; Sangiovese; Altri autorizzati","","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Falanghina Spumante Brut","Falanghina del Sannio Spumante","Bianco","Brut","Corte Normanna","Giallo dorato, brillante con perlage sottile e persistente. Profumo ricco e persistente, con note fruttate e floreali, tenui aromi di lieviti e crosta di pane. Gusto secco, con piacevole e decisa nota fruttata ed acidula. Equilibrato.","100% Falanghina","","D.O.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"Falanghina Benevento","Beneventano","Bianco","","Corte Normanna","Colore giallo paglierino, cristallino; profumi intensi e complessi di frutta a polpa bianca e gialla, sentori di fiori gialli; gusto equilibrato tra sensazioni morbide e acidità, di buon corpo e discreta persistenza.","100% Falanghina","","I.G.P.","Loc. Sapenzie, 20","Guardia Sanframondi","Benevento","41.239395, 14.597992","http://www.cortenormanna.it/","0824 817004","",
"","","","","Crypta Castagnara","","","","","Via Taverna Del Monaco n,4","Grottolella","Avellino","40.967330, 14.792886","http://www.cryptacastagnara.it/lazienda/","0825 671200","",
"","","","","De Fortuna","","","","","Via Pesche Prima","Frasso Telesino","Benevento","41.156137, 14.528646","http://vinidefortuna.it/",824.979516,"",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Dell'Angelo","Colore giallo paglierino più o meno intenso. Odore gradevole, intenso, fine, caratteristico. Sapore fresco, secco, armonico.","100% Greco","11,5%","D.O.C.G.","via Santa Lucia 32","Tufo","Avellino","41.010052, 14.827442","http://www.cantinedellangelo.com/","0825 998073","",
"Canonicato","Campania","Rosso","Aglianico","Della Valle Jappellj","","100% Aglianico","","","Via Tiglio, 2","Casertavecchia","Caserta","","http://www.dellavallejappellj.it/home-it.htm","0823 371731","",
"Ranfino","Falerno del Massico","Rosso","","Dionigi Paonessa","","80% Aglianico; 20% Piedirosso","13,5%","D.O.C.","Via Nazionale, 1","Sessa Aurunca","Caserta","41.241955, 13.933622","http://www.dionigipaonessa.com/","0041 794133327","http://www.vinicolarotondi.com/farlerno_massico_ranfino.html",
"Notarius Riserva","Cilento","Rosso","Aglianico Riserva","Donna Clara","","100% Aglianico","","D.O.P.","Via D.A. De Luca, Loc. Licusati","Camerota","Salerno","40.058018, 15.360631","http://www.donnaclara.it/","0974 937007","http://www.lucianopignataro.it/",
"Notarius","Cilento","Rosso","Aglianico","Donna Clara","Colore rosso rubino. Il bouquet che attanaglia le narici è articolato e variegato e ricorda i frutti rossi come la prugna, l’amarena, il ribes ed il mirtillo e poi proposizioni terrose, salmastre, tostate e speziate. Bocca ampia e godibile, che incoccia subito un tannino leggermente astringente. Profilo gustativo che rileva freschezza, morbidezza, sapidità e rotondità. Finale armonico ed equilibrato.","100% Aglianico","","D.O.P.","Via D.A. De Luca, Loc. Licusati","Camerota","Salerno","40.058018, 15.360631","http://www.donnaclara.it/","0974 937007","http://www.lucianopignataro.it/",
"Pante","Cilento","Bianco","Fiano","Donna Clara","Colore paglierino con riflessi dorati. Il bouquet è ricco di odorose sensazioni territoriali, che ricordano la pesca, la macchia mediterranea, il gelsomino, il biancospino e la ginestra. Bocca bella estesa che assapora connotazioni sapide, minerali, morbide, fresche e ancora fruttate e floreali, con un ottimo sviluppo palatale. Retrogusto lungo e dinamico.","100% Fiano","","D.O.P.","Via D.A. De Luca, Loc. Licusati","Camerota","Salerno","40.058018, 15.360631","http://www.donnaclara.it/","0974 937007","http://www.lucianopignataro.it/",
"Caracea","Campania","Bianco","Falanghina","Donna Clara","Tipico colore paglierino, con riflessi verdolini. Panorama olfattivo intrigante ed intenso, con spiccate e piacevoli nuances agrumate, floreali ed erbacee. L’impatto del sorso sulla lingua è fresco, succoso, suadente, morbido e godibile. Rimembranze ancora fruttate, con virgole citrine, e seguite poi anche da essenze floreali e vegetali.","100% Falanghina","","I.G.T.","Via D.A. De Luca, Loc. Licusati","Camerota","Salerno","40.058018, 15.360631","http://www.donnaclara.it/","0974 937007","http://www.lucianopignataro.it/",
"Terrae 15","Campania","Bianco","Greco","Donna Clara","Limpido e vivace colore giallo paglierino. Al naso si colgono piacevoli e fragranti aromi di frutta bianca, di fiori di campo e di erbe aromatiche. In bocca il frutto maturo fonde con perizia la spiccata freschezza dovuta ad una buona acidità di partenza. E poi si riscontrano pungoli sapidi, morbidi, eleganti e vellutati, che accompagnano un finale vitale ed appagante.","100% Greco","","I.G.T.","Via D.A. De Luca, Loc. Licusati","Camerota","Salerno","40.058018, 15.360631","http://www.donnaclara.it/","0974 937007","http://www.lucianopignataro.it/",
